Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
27/11/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Nesta,637912,135594,Dsit - Ai Manchester Prize-r & D Current Grants To Private Sector - Npish,Ec4y 0ds,Grant
27/11/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Nesta,637915,98052,Dsit - Ai Manchester Prize-r & D Current Grants To Private Sector - Npish,Ec4y 0ds,Grant
05/11/2024,Economic Consultancy & Research,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Novel Design Ltd,632323,25591,Dsit - Digital Skills & Inclusion-economic Consultancy & Research,Sl7 3hn,Vendor
11/11/2024,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Information Commissioners Office,634379,1100000,Dsit - Ico Grant In Aid Funding-grant-in-aid To Arms Length Bodies,Sk9 5af,Vendor
26/11/2024,Consultancy Expenditure,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Oxford Information Labs Ltd,638059,45937.5,Dsit - Trigs - Digital Standards - Programme-consultancy Expenditure,Ox4 2tz,Vendor
13/11/2024,Other It Consultancy,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Cabinet Office,627600,30456,Dsit - Cs - Csa - R&D-other It Consultancy,Np10 8fz,Wga Only
20/11/2024,Uksbs - Service Costs,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Uk Shared Business Services Ltd,631327,160707.6,Dsit - Corporate Services Admin-uksbs - Service Costs,Np10 8qq,Vendor
20/11/2024,Uksbs - Service Costs,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Uk Shared Business Services Ltd,631360,170148,Dsit - Matrix Admin-uksbs - Service Costs,Sn2 1ff,Vendor
20/11/2024,Uksbs - Service Costs,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Uk Shared Business Services Ltd,631361,105190.8,Dsit - Matrix Admin-uksbs - Service Costs,Sn2 1ff,Vendor
21/11/2024,Technical Advice / Services & Support,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Tpximpact Ltd,635758,35520,Dsit - Matrix Admin-technical Advice / Services & Support,E1 1ew,Vendor
21/11/2024,Technical Advice / Services & Support,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Tpximpact Ltd,635761,77220,Dsit - Matrix Admin-technical Advice / Services & Support,E1 1ew,Vendor
21/11/2024,Technical Advice / Services & Support,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Tpximpact Ltd,635762,48480,Dsit - Matrix Admin-technical Advice / Services & Support,E1 1ew,Vendor
13/11/2024,Ppm Consultancy,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Ernst And Young Llp,634959,73334,Dsit - Matrix Admin-ppm Consultancy,Ec2v 7tl,Vendor
21/11/2024,Ppm Consultancy,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Ernst And Young Llp,636738,30637,Dsit - Matrix Admin-ppm Consultancy,Se1 2af,Vendor
21/11/2024,Ppm Consultancy,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Ernst And Young Llp,636738,40525,Dsit - Matrix Admin-ppm Consultancy,Se1 2af,Vendor
14/11/2024,Other Professional Services,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Kpmg Llp,635051,818774.78,Dsit - Matrix Admin-other Professional Services,E14 5gl,Vendor
21/11/2024,Other Professional Services,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Tpximpact Ltd,635730,67080,Dsit - Matrix Admin-other Professional Services,E1 1ew,Vendor
21/11/2024,Other Professional Services,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Tpximpact Ltd,635731,57960,Dsit - Matrix Admin-other Professional Services,E1 1ew,Vendor
29/11/2024,Organisational  Change Management Consultancy,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Tpximpact Ltd,635732,72240,Dsit - Matrix Admin-organisational  Change Management Consultancy,E1 1ew,Vendor
19/11/2024,Organisational  Change Management Consultancy,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Cognizant Worldwide Ltd,635984,400900.32,Dsit - Matrix Admin-organisational  Change Management Consultancy,Ec2m 4ag,Vendor
06/11/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Npl Management Ltd,628947,1537333.33,Dsit - Nms - Npl Advanced Manufacturing-r&D Laboratory Services,Tw11 0lw,Vendor
06/11/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Npl Management Ltd,628948,1383167.67,Dsit - Nms - Npl Digital-r&D Laboratory Services,Tw11 0lw,Vendor
06/11/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Npl Management Ltd,628949,1661333.33,Dsit - Nms - Npl Energy And Environment-r&D Laboratory Services,Tw11 0lw,Vendor
06/11/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Npl Management Ltd,628950,1548000,Dsit - Nms - Npl Life Sciences And Health-r&D Laboratory Services,Tw11 0lw,Vendor
06/11/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Npl Management Ltd,628951,1219667,Dsit - Nms - Npl Cross Sector-r&D Laboratory Services,Tw11 0lw,Vendor
06/11/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Npl Management Ltd,628952,239164,Dsit - Nms - Net Zero-r&D Laboratory Services,Tw11 0lw,Vendor
04/11/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Tuv Sud Ltd,631794,548918,Dsit - Nms Flow Programme At Nel-r&D Laboratory Services,G75 0qf,Vendor
04/11/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Tuv Sud Ltd,631796,193422,Dsit - Nms - Net Zero-r&D Laboratory Services,G75 0qf,Vendor
21/11/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Npl Management Ltd,632053,661952.4,Dsit - Npl - Quantum Test And Eval-r&D Laboratory Services,Tw11 0lw,Vendor
