Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
04/12/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Tuv Sud Ltd,638899,193422,Dsit - Nms - Net Zero-r&D Laboratory Services,G75 0qf,Vendor
04/12/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Lgc Ltd,638907,160960.5,Dsit - Nms Government Chemist Programme At Lgc-r&D Laboratory Services,Tw11 0ly,Grant
04/12/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Lgc Ltd,638910,764728,Dsit - Nms Programme For Chemical & Biological Metrology At Lgc-r&D Laboratory Services,Tw11 0ly,Grant
04/12/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Lgc Ltd,638913,26140,Dsit - Nms - Net Zero-r&D Laboratory Services,Tw11 0ly,Grant
06/12/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,638917,1537333.33,Dsit - Nms - Npl Advanced Manufacturing-r&D Laboratory Services,Tw11 0lw,Vendor
06/12/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,638919,1383166.67,Dsit - Nms - Npl Digital-r&D Laboratory Services,Tw11 0lw,Vendor
06/12/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,638921,1548000,Dsit - Nms - Npl Life Sciences And Health-r&D Laboratory Services,Tw11 0lw,Vendor
06/12/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,638922,1219666.67,Dsit - Nms - Npl Cross Sector-r&D Laboratory Services,Tw11 0lw,Vendor
06/12/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,638923,239164.12,Dsit - Nms - Net Zero-r&D Laboratory Services,Tw11 0lw,Vendor
10/12/2024,R&D Current Grants To Public Corporations,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,638924,136512.89,Dsit - Npl National Timing Centre-r&D Current Grants To Public Corporations,Tw11 0lw,Vendor
06/12/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,638925,1661333.33,Dsit - Nms - Npl Energy And Environment-r&D Laboratory Services,Tw11 0lw,Vendor
09/12/2024,R&D Current Grants To Public Corporations,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,638929,178317.44,Dsit - Npl National Timing Centre-r&D Current Grants To Public Corporations,Tw11 0lw,Vendor
12/12/2024,R&D Current Grants To Public Corporations,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,639656,293140.67,Dsit - Npl Strategic Priorities Fund Analysis For Innovators-r&D Current Grants To Public Corporations,Tw11 0lw,Vendor
30/12/2024,Research And Development Expenditure,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Office Of Communications (Ofcom),640315,2913797.5,Dsit - Knowledge And Innovation Yearly Budget Adjustments-research And Development Expenditure,Se1 9ha,Vendor
06/12/2024,R & D Purchase Of Weather Information & Weather-related Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Met Office,640425,1800416.67,Dsit - Hadley Centre-r & D Purchase Of Weather Information & Weather-related Services,Ex1 3pb,Wga Only
06/12/2024,R & D Purchase Of Weather Information & Weather-related Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Met Office,640430,283333.33,Dsit - Space Weather Service-r & D Purchase Of Weather Information & Weather-related Services,Ex1 3pb,Wga Only
09/12/2024,R&D Current Grants To Public Corporations,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Met Office,641489,26965.2,Dsit - Met Office - Strategic Priorities Fund-r&D Current Grants To Public Corporations,Ex1 3pb,Wga Only
09/12/2024,R&D Current Grants To Public Corporations,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Met Office,641489,272473.73,Dsit - Met Office - Strategic Priorities Fund-r&D Current Grants To Public Corporations,Ex1 3pb,Wga Only
10/12/2024,R&D Current Grants To Public Corporations,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,642023,178269.76,Dsit - Npl National Timing Centre-r&D Current Grants To Public Corporations,Tw11 0lw,Vendor
10/12/2024,R & D Interior Landscaping & Refurbishment,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Government Communications Headquarters (Gchq),642058,48289.58,Dsit - Npl National Timing Centre-r & D Interior Landscaping & Refurbishment,Gl51 0ex,Vendor
10/12/2024,R&D Current Grants To Public Corporations,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Met Office,642131,40841.14,Dsit - Met Office - Clean Air: Analysis & Solutions (Spf)-R&D Current Grants To Public Corporations,Ex1 3pb,Wga Only
10/12/2024,R&D Current Grants To Public Corporations,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Met Office,642131,145155.79,Dsit - Met Office - Clean Air: Analysis & Solutions (Spf)-R&D Current Grants To Public Corporations,Ex1 3pb,Wga Only
13/12/2024,Nca - Additions - Other Loans - Public Corporations,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,642648,143985.52,Dsit - Nms Npl Funding Activities-nca - Additions - Other Loans - Public Corporations,Tw11 0lw,Vendor
11/12/2024,Clearing Account - Cost - Assets Under Construction - Freehold Building,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,642681,261395.94,Dsit - Nms - Npl Buildings And Infrastructre (Sci-ringfence)-Clearing Account - Cost - Assets Under Construction - Freehold Building,Tw11 0lw,Vendor
