Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
01/07/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,605285,"£166,666.67",Dsit - Nms - Net Zero-r&D Laboratory Services,Tw11 0lw,Vendor
05/07/2024,R & D Technical Advice/Services And Support,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Met Office,605866,"£35,655,250.00",Dsit - Public Weather Service: Contract-r & D Technical Advice/Services And Support,Ex1 3pb,Wga Only
03/07/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Lgc Ltd,605870,"£674,410.00",Dsit - Nms Programme For Chemical & Biological Metrology At Lgc-r&D Laboratory Services,Tw11 0ly,Grant
03/07/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Lgc Ltd,605885,"£137,595.00",Dsit - Nms Government Chemist Programme At Lgc-r&D Laboratory Services,Tw11 0ly,Grant
05/07/2024,R & D Research And Development Expenditure,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Met Office,606242,"£4,387,431.09",Dsit - Met Office - Supercomputer R&D-r & D Research And Development Expenditure,Ex1 3pb,Wga Only
05/07/2024,R & D Purchase Of Weather Information & Weather-related Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Met Office,606276,"£283,333.34",Dsit - Space Weather Service-r & D Purchase Of Weather Information & Weather-related Services,Ex1 3pb,Wga Only
02/07/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Tuv Sud Ltd,606286,"£150,000.00",Dsit - Nms - Net Zero-r&D Laboratory Services,G75 0qf,Vendor
02/07/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Tuv Sud Ltd,606288,"£558,918.00",Dsit - Nms Flow Programme At Nel-r&D Laboratory Services,G75 0qf,Vendor
05/07/2024,R & D Purchase Of Weather Information & Weather-related Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Met Office,606592,"£1,800,416.67",Dsit - Hadley Centre-r & D Purchase Of Weather Information & Weather-related Services,Ex1 3pb,Wga Only
12/07/2024,R & D Research And Development Expenditure,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Met Office,608715,"£141,000.00",Dsit - Met Office - National Security Advisory Group-r & D Research And Development Expenditure,Ex1 3pb,Wga Only
