Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
02/05/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Tuv Sud Ltd,593565,73000,Dsit - Nms Flow Programme At Nel-r&D Laboratory Services,G75 0qf,Vendor
02/05/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Lgc Ltd,593566,137595,Dsit - Nms Government Chemist Programme At Lgc-r&D Laboratory Services,Tw11 0ly,Grant
02/05/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Lgc Ltd,593567,687508,Dsit - Nms Programme For Chemical & Biological Metrology At Lgc-r&D Laboratory Services,Tw11 0ly,Grant
07/05/2024,R & D Purchase Of Weather Information & Weather-related Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Met Office,593853,1800416.67,Dsit - Hadley Centre-r & D Purchase Of Weather Information & Weather-related Services,Ex1 3pb,Wga Only
03/05/2024,R & D Research And Development Expenditure,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Met Office,593868,138760,Dsit - Met Office - National Security Advisory Group-r & D Research And Development Expenditure,Ex1 3pb,Wga Only
08/05/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,594575,166667.67,Dsit - Nms - Net Zero-r&D Laboratory Services,Tw11 0lw,Vendor
08/05/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,594586,1537333.33,Dsit - Nms - Npl Advanced Manufacturing-r&D Laboratory Services,Tw11 0lw,Vendor
08/05/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,594604,1383167.67,Dsit - Nms - Npl Digital-r&D Laboratory Services,Tw11 0lw,Vendor
08/05/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,594606,1661333.33,Dsit - Nms - Npl Energy And Environment-r&D Laboratory Services,Tw11 0lw,Vendor
08/05/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,594607,1548000,Dsit - Nms - Npl Life Sciences And Health-r&D Laboratory Services,Tw11 0lw,Vendor
08/05/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,594608,1219667,Dsit - Nms - Npl Cross Sector-r&D Laboratory Services,Tw11 0lw,Vendor
17/05/2024,Maintenance,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Homes England,596504,50000,Dsit - Hca : Innovation (Ex Rda Assets)-Maintenance,Ne4 5bz,Vendor
23/05/2024,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Civil Aviation Authority,597905,37447.24,Dsit - Bre - Regulators Pioneer Fund-r & D Current Grants To Central Government,Rh6 0yr,Vendor
29/05/2024,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",West Midlands Combined Authority,598860,29518,Dsit - Bre - Regulators Pioneer Fund-r & D Current Grants To Central Government,B19 3sd,Grant
29/05/2024,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Tameside Metropolitan Borough Council,598872,27442.14,Dsit - Bre - Regulators Pioneer Fund-r & D Current Grants To Central Government,Ol6 0gs,Grant
29/05/2024,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Milton Keynes Council,598876,75794.81,Dsit - Bre - Regulators Pioneer Fund-r & D Current Grants To Central Government,Mk9 3ej,Grant
29/05/2024,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Financial Reporting Council,598894,65199.84,Dsit - Bre - Regulators Pioneer Fund-r & D Current Grants To Central Government,Ec2y 5as,Grant
30/05/2024,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",(Sepa) Scottish Environment Protection Agency,599220,33883.99,Dsit - Bre - Regulators Pioneer Fund-r & D Current Grants To Central Government,Ml1 4wq,Wga Only
17/05/2024,Nca - Additions - Other Loans - Private Sector Companies,"Dsit - Science, Innovation And Growth - Dsit - Space",Ashurst Llp,596263,10000000,Dsit - Space Directorate - Core Space Programmes-nca - Additions - Other Loans - Private Sector Companies,Ec2a 2ha,Vendor
20/05/2024,Other Professional Services,Dsit - Digital And Technology Group - Dsit - Cyber Security And Digital Identity,Department Of Finance,585853,67500,Dsit - Res Policy Development Prog-other Professional Services,Bt1 4nn,Vendor
03/05/2024,Res - Npf - Agencies - General Fund,"Dsit - Science, Innovation And Growth - Dsit - Space",Uk Space Agency,593502,15000000,Dsit - Uk Space Agency - Supply Funding-res - Npf - Agencies - General Fund,Sn2 1sz,Wga Only
28/05/2024,Other Professional Services,Dsit - Digital And Technology Group - Dsit - Security And Online Harms,Crisp Thinking (Uk) Ltd,590270,56736,Dsit - Security Team Nsoit & Tech Programme-other Professional Services,Ls1 4ol,Vendor
28/05/2024,Other Professional Services,Dsit - Digital And Technology Group - Dsit - Security And Online Harms,Crisp Thinking (Uk) Ltd,593887,56736,Dsit - Security Team Nsoit & Tech Programme-other Professional Services,Ls1 4ol,Vendor
20/05/2024,Research And Development Expenditure,Dsit - Digital And Technology Group - Dsit - Security And Online Harms,Behavioural Insights Ltd,596805,43026,Dsit - Security Team Policy & International Programme-research And Development Expenditure,Ec4y 0ds,Grant
13/05/2024,Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Stem Learning Ltd,595377,96102,Dsit - Tss Programme-current Grants To Private Sector - Npish,Yo10 5dd,Vendor
31/05/2024,Cl - Cash Cfers Paid Over To Hmt,Dsit - Digital And Technology Group - Dsit - Dtg Central,Consolidated Fund Account 6622,599831,3578451.26,Dsit- Ofcom Cfer Receipts - Central-cl - Cash Cfers Paid Over To Hmt,Rh10 1uh,Wga Only
31/05/2024,Cl - Cash Cfers Paid Over To Hmt,Dsit - Digital And Technology Group - Dsit - Dtg Central,Consolidated Fund Account 6622,599831,3283946,Dsit - Bduk Grant In Aid Funding-cl - Cash Cfers Paid Over To Hmt,Rh10 1uh,Wga Only
24/05/2024,Other Professional Services,Dsit - Digital And Technology Group - Dsit - Cyber Security And Digital Identity,Tscheme Ltd,586731,26640,Dsit - Digital Identity (Prog - Main)-Other Professional Services,Rg40 9nn,Vendor
09/05/2024,Technical Advice / Services & Support,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Nokia Uk Ltd,594622,123842.02,Dsit- Onp- Uktl-uk Telecoms Lab-technical Advice / Services & Support,Bs32 4uf,Vendor
08/05/2024,Technical Advice / Services & Support,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Nokia Uk Ltd,594626,41793.91,Dsit- Onp- Uktl-uk Telecoms Lab-technical Advice / Services & Support,Bs32 4uf,Vendor
17/05/2024,Technical Advice / Services & Support,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Npl Management Ltd,596506,97719.5,Dsit- Onp- Uktl-uk Telecoms Lab-technical Advice / Services & Support,Tw11 0lw,Vendor
01/05/2024,Grant-in-aid To Arms Length Bodies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Building Digital Uk (Bduk),591920,8523404,Dsit - Bduk Grant In Aid Funding-grant-in-aid To Arms Length Bodies,Sw1a 2bq,Grant
29/05/2024,Grant-in-aid To Arms Length Bodies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Building Digital Uk (Bduk),599103,41530,Dsit - Bduk Grant In Aid Funding-grant-in-aid To Arms Length Bodies,Sw1a 2bq,Grant
07/05/2024,Research And Development Expenditure,Dsit - Digital And Technology Group - Dsit - Ai Safety Institute,Trail Of Bits Inc,579806,79608.75,Dsit - Admin Nrf Digital Tech-research And Development Expenditure,10003,Vendor
31/05/2024,Research And Development Expenditure,Dsit - Digital And Technology Group - Dsit - Ai Safety Institute,Supplier name withheld,589663,44134,Dsit - Admin Nrf Digital Tech-research And Development Expenditure,,Vendor
15/05/2024,Research And Development Expenditure,Dsit - Digital And Technology Group - Dsit - Ai Safety Institute,Supplier name withheld,592884,61229.65,Dsit - Admin Nrf Digital Tech-research And Development Expenditure,,Vendor
16/05/2024,Research And Development Expenditure,Dsit - Digital And Technology Group - Dsit - Ai Safety Institute,Supplier name withheld,594648,199405,Dsit - Admin Nrf Digital Tech-research And Development Expenditure,,Vendor
15/05/2024,Research And Development Expenditure,Dsit - Digital And Technology Group - Dsit - Ai Safety Institute,Faculty Science Ltd,595904,374223,Dsit - Admin Nrf Digital Tech-research And Development Expenditure,Ec1v 9bw,Vendor
24/05/2024,Research And Development Expenditure,Dsit - Digital And Technology Group - Dsit - Ai Safety Institute,Supplier name withheld,596505,239286,Dsit - Admin Nrf Digital Tech-research And Development Expenditure,,Vendor
31/05/2024,Technical Advice / Services & Support,Dsit - Digital And Technology Group - Dsit - Ai Safety Institute,Supplier name withheld,596517,81935.03,Dsit - Digital Tech Nrf-technical Advice / Services & Support,,Vendor
29/05/2024,Research And Development Expenditure,Dsit - Digital And Technology Group - Dsit - Ai Safety Institute,Supplier name withheld,598471,97302.71,Dsit - Admin Nrf Digital Tech-research And Development Expenditure,,Vendor
15/05/2024,R & D Training And Development Expenditure,"Dsit - Science, Innovation And Growth - Dsit - Government Office For Science",Ernst And Young Llp,595894,29000,Dsit - Foresight: Government Science And Engineering-r & D Training And Development Expenditure,Se1 2af,Vendor
03/05/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",The Royal Society,593913,800000,Dsit - Royal Society-r & D Current Grants To Private Sector - Npish,Sw1y 5ag,Grant
03/05/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",The British Academy,593915,1093056,Dsit - British Academy-r & D Current Grants To Private Sector - Npish,Sw1y 5ah,Vendor
03/05/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Royal Academy Of Engineering Rae,593916,1920711.68,Dsit - Royal Academy Of Engineering-r & D Current Grants To Private Sector - Npish,Sw1y 5dg,Vendor
03/05/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Academy Of Medical Sciences,593917,430571,Dsit - Academy Of Medical Sciences-r & D Current Grants To Private Sector - Npish,W1b 1qh,Grant
21/05/2024,Advertising,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Omnicom Media Group Uk Ltd T/A Manning Gottlieb Omd,596525,27563.51,Dsit - Eu Exit: Horizon Europe Association - Participation Fee-advertising,Se1 0sw,Vendor
23/05/2024,Marketing And Media,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Omnicom Media Group Uk Ltd T/A Manning Gottlieb Omd,596528,27206.55,Dsit - Eu Exit: Horizon Europe Association - Participation Fee-marketing And Media,Se1 0sw,Vendor
21/05/2024,Marketing And Media,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Omnicom Media Group Uk Ltd T/A Manning Gottlieb Omd,596532,29802.64,Dsit - Eu Exit: Horizon Europe Association - Participation Fee-marketing And Media,Se1 0sw,Vendor
07/05/2024,Other Programme Expenditure,"Dsit - Science, Innovation And Growth - Dsit - Geospatial",Royal Mail Group Ltd T/A Royal Mail,588264,7947114,Dsit - Postcode Address File-other Programme Expenditure,S49 1hq,Grant
01/05/2024,R & D Other Professional Services,"Dsit - Science, Innovation And Growth - Dsit - Geospatial",Ordnance Survey Ltd,590242,67378785.6,Dsit - Ordnance Survey- Public Sector Mapping Contract-r & D Other Professional Services,So16 0as,Wga Only
07/05/2024,R & D Other Professional Services,"Dsit - Science, Innovation And Growth - Dsit - Geospatial",Bluesky International Ltd,593831,91579.73,Dsit - Ordnance Survey- Aerial Photography Great Britain-r & D Other Professional Services,Le65 2as,Vendor
07/05/2024,R & D Other Professional Services,"Dsit - Science, Innovation And Growth - Dsit - Geospatial",Getmapping Ltd,593857,107195.66,Dsit - Ordnance Survey- Aerial Photography Great Britain-r & D Other Professional Services,Gu51 2uh,Vendor
07/05/2024,R & D Other Professional Services,"Dsit - Science, Innovation And Growth - Dsit - Geospatial",Airbus Defence And Space Ltd,593863,35925.43,Dsit - Ordnance Survey- Aerial Photography Great Britain-r & D Other Professional Services,Ne3 3af,Vendor
29/05/2024,R & D Other Professional Services,"Dsit - Science, Innovation And Growth - Dsit - Geospatial",Ordnance Survey Ltd,598473,263513.74,Dsit - Ordnance Survey- Public Sector Mapping Contract-r & D Other Professional Services,So16 0as,Wga Only
