Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
14/03/2024,Other Professional Services,Dsit - Corporate Services - Dsit - Matrix Directorate,Tpximpact Ltd,578326,36000,Dsit - Corporate Services Admin-other Professional Services,E1 1ew,Vendor
13/03/2024,Other Professional Services,Dsit - Corporate Services - Dsit - Matrix Directorate,Tpximpact Ltd,578327,168360,Dsit - Corporate Services Admin-other Professional Services,E1 1ew,Vendor
14/03/2024,Other Professional Services,Dsit - Corporate Services - Dsit - Matrix Directorate,Veran Performance Ltd,579009,271540.69,Dsit - Corporate Services Admin-other Professional Services,Kt8 9ju,Vendor
19/03/2024,Other Professional Services,Dsit - Corporate Services - Dsit - Matrix Directorate,Investigo Ltd,580196,85440,Dsit - Corporate Services Admin-other Professional Services,E1 6eg,Vendor
28/03/2024,Ppm Consultancy,Dsit - Corporate Services - Dsit - Matrix Directorate,Ernst And Young Llp,584954,88852,Dsit - Corporate Services Admin-ppm Consultancy,Se1 2af,Vendor
07/03/2024,R & D International Subscriptions,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",International Bureau Of Weights & Measures(Bipm),571861,618906.3,Dsit - Nms International Subscriptions-r & D International Subscriptions,F-92310,Grant
06/03/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,574878,166666.67,Dsit - Nms - Net Zero-r&D Laboratory Services,Tw11 0lw,Vendor
01/03/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Tuv Sud Ltd,575595,489780,Dsit - Nms Flow Programme At Nel-r&D Laboratory Services,G75 0qf,Vendor
01/03/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Tuv Sud Ltd,575596,40000,Dsit - Nms Flow Programme At Nel-r&D Laboratory Services,G75 0qf,Vendor
01/03/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Tuv Sud Ltd,575597,129163,Dsit - Nms - Net Zero-r&D Laboratory Services,G75 0qf,Vendor
01/03/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Lgc Ltd,575598,730180,Dsit - Nms Programme For Chemical & Biological Metrology At Lgc-r&D Laboratory Services,Tw11 0ly,Grant
04/03/2024,R & D Technical Advice/Services And Support,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Met Office,575647,247500,Dsit - Space Weather Service-r & D Technical Advice/Services And Support,Ex1 3pb,Wga Only
04/03/2024,R&D Current Grants To Public Corporations,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,576002,69328.75,Dsit - Npl National Timing Centre-r&D Current Grants To Public Corporations,Tw11 0lw,Vendor
04/03/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,576031,1471083.33,Dsit - Nms - Npl Advanced Manufacturing-r&D Laboratory Services,Tw11 0lw,Vendor
04/03/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,576032,1295666.67,Dsit - Nms - Npl Digital-r&D Laboratory Services,Tw11 0lw,Vendor
04/03/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,576034,1491000,Dsit - Nms - Npl Energy And Environment-r&D Laboratory Services,Tw11 0lw,Vendor
04/03/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,576035,1576750,Dsit - Nms - Npl Life Sciences And Health-r&D Laboratory Services,Tw11 0lw,Vendor
05/03/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,576040,1557500,Dsit - Nms - Npl Cross Sector-r&D Laboratory Services,Tw11 0lw,Vendor
06/03/2024,Research And Development Expenditure,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Office Of Communications (Ofcom),576518,188393.5,Dsit - Knowledge And Innovation Yearly Budget Adjustments-research And Development Expenditure,Se1 9ha,Vendor
06/03/2024,Research And Development Expenditure,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Office Of Communications (Ofcom),576518,2725404,Dsit - Knowledge And Innovation Yearly Budget Adjustments-research And Development Expenditure,Se1 9ha,Vendor
06/03/2024,R & D Technical Advice/Services And Support,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Met Office,576554,1765750,Dsit - Hadley Centre-r & D Technical Advice/Services And Support,Ex1 3pb,Wga Only
06/03/2024,R & D Technical Advice/Services And Support,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Met Office,576610,9375416.67,Dsit - Public Weather Service: Contract-r & D Technical Advice/Services And Support,Ex1 3pb,Wga Only
