Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
18/06/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,University Of Durham T/A Durham University,603190,262624.7,Dsit - Diversification Strategy Prog-capital Grants To Private Sector - Companies,Dh1 3le,Vendor
18/06/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Digital Catapult Services Ltd,603232,205215.22,Dsit - Future Networks R&D Capital Grants-capital Grants To Private Sector - Companies,Nw1 2ra,Vendor
18/06/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Telet Research (Ni) Ltd,603512,292333.06,Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,Sw1p 3rx,Grant
18/06/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,University Of York,603515,850619.88,Dsit- Onp-fonrc-future Open Network Research Challenge-capital Grants To Private Sector - Companies,Yo10 5dd,Vendor
19/06/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Awtg Ltd,603551,1694799.01,Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,W3 7sr,Grant
19/06/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Digital Catapult Services Ltd,603555,340273.54,Dsit- Onp-sonic-smartran Open Network Interoperability Centre-capital Grants To Private Sector - Companies,Nw1 2ra,Vendor
25/06/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,University Of Surrey,604728,1923952.03,Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,Gu2 7xh,Vendor
03/06/2024,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri - Arts And Humanities Research Council,599098,35000000,Dsit - Ahrc Financing-grant-in-aid To Arms Length Bodies,Sn2 1fl,Wga Only
03/06/2024,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri - Biotechnology And Biological Science Research Council,599110,80000000,Dsit - Bbsrc Financing-grant-in-aid To Arms Length Bodies,Sn2 1ff,Wga Only
03/06/2024,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri - Engineering And Physical Sciences Research Council,599113,449000000,Dsit - Epsrc Financing-grant-in-aid To Arms Length Bodies,Sn2 1ff,Vendor
03/06/2024,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri - Economic And Social Research Council,599114,55000000,Dsit - Esrc Financing-grant-in-aid To Arms Length Bodies,Sn2 1uj,Wga Only
03/06/2024,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri - Medical Research Council,599117,150080000,Dsit - Mrc Financing-grant-in-aid To Arms Length Bodies,W1n 4al,Wga Only
03/06/2024,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri - Natural Environment Research Council,599118,55000000,Dsit - Nerc Financing-grant-in-aid To Arms Length Bodies,Sn2 1eu,Wga Only
03/06/2024,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri - Science And Technology Facilities Council,599119,76000000,Dsit - Stfc Financing-grant-in-aid To Arms Length Bodies,Sn2 1sz,Wga Only
03/06/2024,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri-innovate Uk,599121,170000000,Dsit - Tsb Financing-grant-in-aid To Arms Length Bodies,Sn2 1fl,Wga Only
03/06/2024,Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri - Biotechnology And Biological Science Research Council,599122,10000000,Dsit - Research Councils Pension Scheme (Bbsrc) - Grant-current Grants To Central Government,Sn2 1uh,Wga Only
