Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
15/10/2024,R&D Current Grants To Public Corporations,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,627501,25258.09,Dsit - National Physical Laboratories International Science Partnership Fund (Ispf Non-oda)-R&D Current Grants To Public Corporations,Tw11 0lw,Vendor
15/10/2024,R&D Current Grants To Public Corporations,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,627501,145627.8,Dsit - National Physical Laboratories International Science Partnership Fund (Ispf Non-oda)-R&D Current Grants To Public Corporations,Tw11 0lw,Vendor
15/10/2024,R&D Current Grants To Public Corporations,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,627501,318244.75,Dsit - National Physical Laboratories International Science Partnership Fund (Ispf Non-oda)-R&D Current Grants To Public Corporations,Tw11 0lw,Vendor
22/10/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Academy Of Medical Sciences,628668,264020,Dsit - Academy Of Medical Sciences International Science Partnership Fund (Ispf Oda)-R & D Current Grants To Private Sector - Npish,W1b 1qh,Grant
22/10/2024,R & D Administration Of Grants And Awards,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Academy Of Medical Sciences,628668,169237,Dsit - Academy Of Medical Sciences International Science Partnership Fund (Ispf Oda)-R & D Administration Of Grants And Awards,W1b 1qh,Grant
25/10/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Satellite Applications Catapult Ltd,630272,46724.65,Dsit - Tactical Fund-r & D Current Grants To Private Sector - Npish,Ox11 0qr,Vendor
25/10/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Energy Systems Catapult Ltd,630278,45342.66,Dsit - Tactical Fund-r & D Current Grants To Private Sector - Npish,B4 6bs,Vendor
28/10/2024,R&D Current Grants To Public Corporations,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",The British Council,630857,1699675.63,Dsit - British Council International Science Partnership Fund (Ispf Oda)-R&D Current Grants To Public Corporations,E20 1jq,Wga Only
28/10/2024,R & D Administration Of Grants And Awards,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",The British Council,630857,183279.18,Dsit - British Council International Science Partnership Fund (Ispf Oda)-R & D Administration Of Grants And Awards,E20 1jq,Wga Only
29/10/2024,R&D Current Grants To Public Corporations,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",The British Council,630902,408843,Dsit - British Council International Science Partnership Fund (Ispf Non-oda)-R&D Current Grants To Public Corporations,E20 1jq,Wga Only
