Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
17/02/2025,R & D Administration Of Grants And Awards,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",The British Council,658081,208287.75,Dsit - British Council International Science Partnership Fund (Ispf Oda)-R & D Administration Of Grants And Awards,E20 1jq,Wga Only
17/02/2025,R&D Current Grants To Public Corporations,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",The British Council,658081,2713519.98,Dsit - British Council International Science Partnership Fund (Ispf Oda)-R&D Current Grants To Public Corporations,E20 1jq,Wga Only
19/02/2025,R & D Administration Of Grants And Awards,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Met Office,658451,47027.04,Dsit - Met Office International Science Partnership Fund (Ispf Oda)-R & D Administration Of Grants And Awards,Ex1 3pb,Wga Only
19/02/2025,R & D Administration Of Grants And Awards,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Met Office,658451,151724.93,Dsit - Met Office International Science Partnership Fund (Ispf Oda)-R & D Administration Of Grants And Awards,Ex1 3pb,Wga Only
19/02/2025,R&D Current Grants To Public Corporations,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Met Office,658451,3416335.64,Dsit - Met Office International Science Partnership Fund (Ispf Oda)-R&D Current Grants To Public Corporations,Ex1 3pb,Wga Only
26/02/2025,R & D Administration Of Grants And Awards,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Met Office,658455,30020.76,Dsit - Met Office International Science Partnership Fund (Ispf Non-oda)-R & D Administration Of Grants And Awards,Ex1 3pb,Wga Only
26/02/2025,R & D Administration Of Grants And Awards,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Met Office,658455,40656.63,Dsit - Met Office International Science Partnership Fund (Ispf Non-oda)-R & D Administration Of Grants And Awards,Ex1 3pb,Wga Only
26/02/2025,R&D Current Grants To Public Corporations,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Met Office,658455,751268.54,Dsit - Met Office International Science Partnership Fund (Ispf Non-oda)-R&D Current Grants To Public Corporations,Ex1 3pb,Wga Only
26/02/2025,R&D Current Grants To Public Corporations,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Met Office,658455,812720.42,Dsit - Met Office International Science Partnership Fund (Ispf Non-oda)-R&D Current Grants To Public Corporations,Ex1 3pb,Wga Only
19/02/2025,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",The Faraday Institution,658804,425827.9,Dsit - Tactical Fund-r & D Current Grants To Private Sector - Npish,Ox11 0ra,Grant
20/02/2025,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Energy Systems Catapult Ltd,659241,106496.59,Dsit - Energy Systems Catapult (Ispf Non-oda)-R & D Current Grants To Private Sector - Npish,B4 6bs,Vendor
24/02/2025,R & D Administration Of Grants And Awards,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",The British Council,659748,184804.22,Dsit - British Council International Science Partnership Fund (Ispf Non-oda)-R & D Administration Of Grants And Awards,E20 1jq,Wga Only
24/02/2025,R&D Current Grants To Public Corporations,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",The British Council,659748,263946.81,Dsit - British Council International Science Partnership Fund (Ispf Non-oda)-R&D Current Grants To Public Corporations,E20 1jq,Wga Only
24/02/2025,R&D Current Grants To Public Corporations,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",The British Council,659748,1568157,Dsit - British Council International Science Partnership Fund (Ispf Non-oda)-R&D Current Grants To Public Corporations,E20 1jq,Wga Only
27/02/2025,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Uk Agri-tech Centre Ltd,660875,36024,Dsit - Tactical Fund-r & D Current Grants To Private Sector - Npish,Yo10 5dg,Vendor
27/02/2025,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Uk Agri-tech Centre Ltd,660877,36024,Dsit - Tactical Fund-r & D Current Grants To Private Sector - Npish,Yo10 5dg,Vendor
12/02/2025,Library Services,Dsit - Corporate Services - Dsit - Analysis Directorate,Data City Innovations Ltd,652297,162000,Dsit - Devolved Admin-library Services,Ls1 2bh,Vendor
27/02/2025,Ca - Clarity Travel Management,Dsit - Corporate Services - Dsit - Commercial,Corporate Travel Management (North) Ltd,661289,250437.59,,Bd1 5hq,Vendor
28/02/2025,Ca - Clarity Travel Management,Dsit - Corporate Services - Dsit - Commercial,Corporate Travel Management (North) Ltd,661629,329217.15,,Bd1 5hq,Vendor
18/02/2025,Other It Consultancy,"Dsit - Science, Innovation And Growth - Dsit - Geospatial",Atkinsrealis Uk Ltd,658435,25200,Dsit - National Underground Asset Register-other It Consultancy,Kt18 5bw,Grant
